,Part of: cyclohexanone with sp no au,Part of: Part of: cyclohexanone no au,
2181.096,84.3848,84.0985,
2183.025,84.2865,83.8857,
2184.953,84.2182,83.7237,
2186.882,84.204,83.6487,
2188.810,84.2422,83.6771,
2190.738,84.3041,83.8033,
2192.667,84.3464,84.0041,
2194.595,84.3288,84.2474,
2196.524,84.2303,84.5008,
2198.452,84.0568,84.7379,
2200.381,83.8388,84.9415,
2202.309,83.6219,85.1037,
2204.238,83.4535,85.2239,
2206.166,83.37,85.3053,
2208.095,83.3878,85.3486,
2210.023,83.5016,85.3465,
2211.952,83.6883,85.2823,
2213.880,83.9158,85.1363,
2215.809,84.152,84.8984,
2217.737,84.3713,84.581,
2219.665,84.5577,84.2239,
2221.594,84.7044,83.8854,
2223.522,84.8122,83.6234,
2225.451,84.8843,83.4768,
2227.379,84.9211,83.4588,
2229.308,84.9139,83.5644,
2231.236,84.8451,83.7805,
2233.165,84.6943,84.0872,
2235.093,84.4517,84.4458,
2237.022,84.1309,84.7957,
2238.950,83.7723,85.0775,
2240.879,83.4345,85.2648,
2242.807,83.1749,85.3712,
2244.736,83.0309,85.428,
2246.664,83.0133,85.4614,
2248.592,83.1141,85.4806,
2250.521,83.3185,85.4806,
2252.449,83.6071,85.4566,
2254.378,83.9446,85.4229,
2256.306,84.2736,85.4149,
2258.235,84.5351,85.4638,
2260.163,84.7034,85.5663,
2262.092,84.795,85.6802,
2264.020,84.8457,85.7458,
2265.949,84.882,85.7143,
2267.877,84.907,85.5695,
2269.806,84.907,85.3318,
2271.734,84.8748,85.0466,
2273.663,84.8338,84.7664,
2275.591,84.8325,84.5366,
2277.519,84.9054,84.3872,
2279.448,85.0424,84.3296,
2281.376,85.1926,84.3573,
2283.305,85.2908,84.4498,
2285.233,85.2861,84.5788,
2287.162,85.1627,84.7156,
2289.090,84.9432,84.8366,
2291.019,84.6763,84.9255,
2292.947,84.4173,84.9723,
2294.876,84.212,84.9704,
2296.804,84.0886,84.9152,
2298.733,84.0555,84.8044,
2300.661,84.1029,84.6389,
2302.590,84.2083,84.4229,
2304.518,84.3432,84.1638,
2306.446,84.4805,83.8718,
2308.375,84.5989,83.561,
2310.303,84.6845,83.2505,
2312.232,84.7286,82.9646,
2314.160,84.7248,82.7317,
2316.089,84.668,82.5798,
2318.017,84.5557,82.5309,
2319.946,84.3885,82.5937,
2321.874,84.1709,82.7591,
2323.803,83.9101,82.9988,
2325.731,83.6163,83.2697,
2327.660,83.3034,83.5236,
2329.588,82.9902,83.7192,
2331.517,82.7011,83.8316,
2333.445,82.4645,83.8565,
2335.373,82.3085,83.8071,
2337.302,82.2554,83.7067,
2339.230,82.3147,83.5807,
2341.159,82.4776,83.4519,
2343.087,82.7162,83.3364,
2345.016,82.9873,83.2424,
2346.944,83.2426,83.1681,
2348.873,83.4405,83.1023,
2350.801,83.5559,83.0296,
2352.730,83.5844,82.9389,
2354.658,83.539,82.8339,
2356.587,83.4427,82.7375,
2358.515,83.3211,82.6871,
2360.444,83.1962,82.7208,
2362.372,83.0841,82.8602,
2364.300,82.9924,83.1002,
2366.229,82.9194,83.4088,
2368.157,82.8543,83.7397,
2370.086,82.7822,84.0487,
2372.014,82.6927,84.3082,
2373.943,82.5899,84.5118,
2375.871,82.4966,84.6698,
2377.800,82.4494,84.7993,
2379.728,82.4854,84.9149,
2381.657,82.6257,85.0233,
2383.585,82.8647,85.1236,
2385.514,83.1709,85.211,
2387.442,83.4988,85.2797,
2389.371,83.8051,85.3258,
2391.299,84.0626,85.3463,
2393.227,84.2648,85.3394,
2395.156,84.4221,85.3033,
2397.084,84.5512,85.2364,
2399.013,84.6663,85.1371,
2400.941,84.774,85.0027,
2402.870,84.8732,84.8284,
2404.798,84.959,84.6064,
2406.727,85.0256,84.3287,
2408.655,85.0692,83.9914,
2410.584,85.0871,83.5999,
2412.512,85.0776,83.1718,
2414.441,85.0391,82.7353,
2416.369,84.9702,82.3234,
2418.298,84.8694,81.9662,
2420.226,84.734,81.6842,
2422.154,84.5589,81.4867,
2424.083,84.3364,81.3719,
2426.011,84.0585,81.3315,
2427.940,83.7213,81.354,
2429.868,83.3302,81.4275,
2431.797,82.9028,81.5414,
2433.725,82.467,81.6864,
2435.654,82.0556,81.8545,
2437.582,81.6985,82.0372,
2439.511,81.4162,82.2232,
2441.439,81.2177,82.3969,
2443.368,81.1013,82.5385,
2445.296,81.0584,82.6253,
2447.225,81.0771,82.6365,
2449.153,81.1457,82.5581,
2451.081,81.2534,82.387,
2453.010,81.3918,82.1334,
2454.938,81.5534,81.8205,
2456.867,81.7302,81.4813,
2458.795,81.9112,81.154,
2460.724,82.0809,80.8745,
2462.652,82.2189,80.6698,
2464.581,82.3028,80.5518,
2466.509,82.3119,80.5158,
2468.438,82.2332,80.5424,
2470.366,82.0645,80.6043,
2472.295,81.8166,80.6754,
2474.223,81.5125,80.7386,
2476.152,81.1845,80.7896,
2478.080,80.8692,80.8347,
2480.008,80.6011,80.8837,
2481.937,80.4059,80.9414,
2483.865,80.2955,80.9999,
2485.794,80.2651,81.0367,
2487.722,80.2959,81.0171,
2489.651,80.361,80.9005,
2491.579,80.4348,80.6504,
2493.508,80.5,80.2444,
2495.436,80.5522,79.6849,
2497.365,80.5976,79.0057,
2499.293,80.6458,78.2722,
2501.222,80.7016,77.5726,
2503.150,80.7575,76.9987,
2505.079,80.7912,76.6245,
2507.007,80.7685,76.489,
2508.935,80.6496,76.59,
2510.864,80.3987,76.8901,
2512.792,79.9944,77.3303,
2514.721,79.4393,77.844,
2516.649,78.7675,78.3672,
2518.578,78.044,78.8433,
2520.506,77.3557,79.2251,
2522.435,76.7929,79.4737,
2524.363,76.4281,79.5578,
2526.292,76.2994,79.451,
2528.220,76.4042,79.1319,
2530.149,76.7053,78.5881,
2532.077,77.1441,77.8235,
2534.006,77.6544,76.8682,
2535.934,78.1727,75.7825,
2537.862,78.643,74.6527,
2539.791,79.0186,73.5777,
2541.719,79.2614,72.6489,
2543.648,79.3408,71.9278,
2545.576,79.231,71.4243,
2547.505,78.911,71.0817,
2549.433,78.3685,70.7747,
2551.362,77.6076,70.3319,
2553.290,76.658,69.5827,
2555.219,75.5794,68.4193,
2557.147,74.4573,66.849,
2559.076,73.3892,65.0107,
2561.004,72.4654,63.1447,
2562.933,71.746,61.5276,
2564.861,71.2408,60.4028,
2566.790,70.8931,59.9324,
2568.718,70.5796,60.1832,
2570.646,70.1313,61.135,
2572.575,69.3805,62.6967,
2574.503,68.2218,64.7177,
2576.432,66.6631,67.0006,
2578.360,64.8419,69.3244,
2580.289,62.9954,71.4834,
2582.217,61.397,73.3286,
2584.146,60.2867,74.7954,
2586.074,59.8245,75.9019,
2588.003,60.0759,76.7209,
2589.931,61.0208,77.3409,
2591.860,62.5684,77.835,
2593.788,64.5697,78.2474,
2595.717,66.8291,78.597,
2597.645,69.1284,78.8881,
2599.573,71.2648,79.1202,
2601.502,73.0918,79.2945,
2603.430,74.5462,79.4175,
2605.359,75.646,79.5015,
2607.287,76.4631,79.5635,
2609.216,77.084,79.6194,
2611.144,77.5797,79.6768,
2613.073,77.9931,79.7296,
2615.001,78.3424,79.7584,
2616.930,78.6322,79.7388,
2618.858,78.8631,79.6533,
2620.787,79.0372,79.5011,
2622.715,79.161,79.3011,
2624.644,79.2465,79.0848,
2626.572,79.3096,78.8846,
2628.500,79.3654,78.7214,
2630.429,79.4216,78.598,
2632.357,79.4724,78.4996,
2634.286,79.4993,78.4016,
2636.214,79.4788,78.2766,
2638.143,79.3938,78.0999,
2640.071,79.2436,77.8485,
2642.000,79.0464,77.4982,
2643.928,78.8331,77.0234,
2645.857,78.6352,76.4041,
2647.785,78.473,75.6386,
2649.714,78.3491,74.7557,
2651.642,78.2493,73.8174,
2653.571,78.1496,72.9054,
2655.499,78.0234,72.0959,
2657.427,77.8465,71.433,
2659.356,77.5956,70.9128,
2661.284,77.2461,70.4886,
2663.213,76.7725,70.092,
2665.141,76.155,69.6611,
2667.070,75.3927,69.1602,
2668.998,74.5152,68.5845,
2670.927,73.5841,67.9482,
2672.855,72.6802,67.2627,
2674.784,71.8785,66.5179,
2676.712,71.2216,65.6723,
2678.641,70.7053,64.6629,
2680.569,70.2829,63.43,
2682.498,69.8867,61.9531,
2684.426,69.4554,60.2799,
2686.354,68.954,58.5314,
2688.283,68.3781,56.8733,
2690.211,67.7419,55.4601,
2692.140,67.0572,54.3732,
2694.068,66.3139,53.5845,
2695.997,65.4714,52.9632,
2697.925,64.4671,52.324,
2699.854,63.2421,51.4892,
2701.782,61.7761,50.337,
2703.711,60.1159,48.8147,
2705.639,58.3805,46.9227,
2707.568,56.7334,44.6893,
2709.496,55.3267,42.1573,
2711.425,54.2405,39.3899,
2713.353,53.4466,36.4859,
2715.281,52.8154,33.5858,
2717.210,52.1631,30.855,
2719.138,51.3143,28.4472,
2721.067,50.1493,26.4597,
2722.995,48.6179,24.9017,
2724.924,46.7234,23.686,
2726.852,44.4966,22.647,
2728.781,41.9815,21.58,
2730.709,39.2405,20.289,
2732.638,36.3694,18.633,
2734.566,33.504,16.5605,
2736.495,30.8054,14.1222,
2738.423,28.4237,11.4611,
2740.352,26.4548,8.78034,
2742.280,24.9083,6.29582,
2744.208,23.6984,4.18662,
2746.137,22.6618,2.55623,
2748.065,21.5953,1.4179,
2749.994,20.3045,0.707699,
2751.922,18.6493,0.317375,
2753.851,16.5782,0.131915,
2755.779,14.1415,0.0578549,
2757.708,11.4812,0.0357162,
2759.636,8.79912,0.0381939,
2761.565,6.31065,0.0605247,
2763.493,4.19494,0.109617,
2765.422,2.55645,0.19568,
2767.350,1.40989,0.326872,
2769.279,0.6927,0.505838,
2771.207,0.297427,0.727309,
2773.135,0.109141,0.97699,
2775.064,0.0339133,1.23258,
2776.992,0.0115989,1.46735,
2778.921,0.014334,1.65553,
2780.849,0.0370445,1.77783,
2782.778,0.0865497,1.8253,
2784.706,0.173086,1.80007,
2786.635,0.304851,1.71324,
2788.563,0.484507,1.58099,
2790.492,0.70676,1.4205,
2792.420,0.957263,1.24704,
2794.349,1.21365,1.07269,
2796.277,1.44914,0.906085,
2798.206,1.63795,0.752671,
2800.134,1.76089,0.61503,
2802.062,1.80911,0.493423,
2803.991,1.78485,0.386802,
2805.919,1.69917,0.294115,
2807.848,1.56806,0.215274,
2809.776,1.40839,0.151136,
2811.705,1.2352,0.102481,
2813.633,1.06044,0.0687414,
2815.562,0.892866,0.0475113,
2817.490,0.738216,0.0352745,
2819.419,0.599404,0.0288457,
2821.347,0.47696,0.0264615,
2823.276,0.369932,0.0277681,
2825.204,0.277162,0.0328264,
2827.133,0.198277,0.0409627,
2829.061,0.133779,0.0503336,
2830.989,0.0841818,0.0584911,
2832.918,0.0488855,0.0635269,
2834.846,0.0257456,0.0650453,
2836.775,0.0117133,0.0643955,
2838.703,0.00406724,0.064071,
2840.632,0.00128089,0.0666314,
2842.560,0.00289663,0.0736879,
2844.489,0.00859164,0.0853857,
2846.417,0.0172275,0.100525,
2848.346,0.0266369,0.117174,
2850.274,0.0343138,0.13353,
2852.203,0.0385318,0.148967,
2854.131,0.0391747,0.165577,
2856.060,0.0377983,0.190791,
2857.988,0.0369241,0.241531,
2859.916,0.0389621,0.349503,
2861.845,0.0452924,0.565999,
2863.773,0.0558789,0.963508,
2865.702,0.0694876,1.63139,
2867.630,0.0843187,2.66424,
2869.559,0.0988106,4.14439,
2871.487,0.112593,6.12271,
2873.416,0.127951,8.60424,
2875.344,0.152423,11.5441,
2877.273,0.202961,14.8552,
2879.201,0.311224,18.425,
2881.130,0.528329,22.1336,
2883.058,0.926347,25.8691,
2884.987,1.59385,29.5362,
2886.915,2.62428,33.06,
2888.843,4.09846,36.3864,
2890.772,6.06576,39.4805,
2892.700,8.53008,42.3234,
2894.629,11.4462,44.9088,
2896.557,14.7277,47.2393,
2898.486,18.264,49.3236,
2900.414,21.9381,51.1758,
2902.343,25.6411,52.8142,
2904.271,29.2806,54.2606,
2906.200,32.7833,55.5392,
2908.128,36.0956,56.6751,
2910.057,39.1818,57.6932,
2911.985,42.0215,58.6182,
2913.914,44.6067,59.4744,
2915.842,46.938,60.2863,
2917.770,49.0231,61.0776,
2919.699,50.8748,61.8707,
2921.627,52.5111,62.6834,
2923.556,53.9536,63.5255,
2925.484,55.2266,64.3949,
2927.413,56.3556,65.2764,
2929.341,57.3653,66.1434,
2931.270,58.2798,66.9641,
2933.198,59.1225,67.7082,
2935.127,59.9169,68.3536,
2937.055,60.6866,68.8899,
2938.984,61.4551,69.3202,
2940.912,62.2425,69.6603,
2942.841,63.0612,69.9363,
2944.769,63.9117,70.1805,
2946.697,64.7798,70.4256,
2948.626,65.6378,70.6994,
2950.554,66.451,71.0209,
2952.483,67.1852,71.4003,
2954.411,67.8145,71.8403,
2956.340,68.3266,72.338,
2958.268,68.7248,72.8855,
2960.197,69.0279,73.4688,
2962.125,69.2669,74.0678,
2964.054,69.479,74.6592,
2965.982,69.7008,75.2209,
2967.911,69.9609,75.7379,
2969.839,70.277,76.204,
2971.768,70.6554,76.6213,
2973.696,71.0952,76.997,
2975.624,71.5907,77.3395,
2977.553,72.1336,77.6564,
2979.481,72.7113,77.9533,
2981.410,73.3064,78.2341,
2983.338,73.898,78.5002,
2985.267,74.465,78.7505,
2987.195,74.992,78.9818,
2989.124,75.4715,79.1901,
2991.052,75.904,79.3717,
2992.981,76.2958,79.5254,
2994.909,76.6548,79.6523,
2996.838,76.9886,79.7558,
2998.766,77.3026,79.8398,
3000.695,77.5996,79.9078,
3002.623,77.8802,79.9623,
3004.551,78.1423,80.0061,
3006.480,78.3822,80.0422,
3008.408,78.5959,80.0748,
3010.337,78.781,80.1085,
3012.265,78.9378,80.147,
3014.194,79.0691,80.1928,
3016.122,79.1796,80.2465,
3018.051,79.2737,80.3079,
3019.979,79.3546,80.3763,
3021.908,79.4244,80.4513,
3023.836,79.4846,80.5324,
3025.765,79.5376,80.619,
3027.693,79.5868,80.7106,
3029.622,79.636,80.807,
3031.550,79.6886,80.909,
3033.479,79.7469,81.0178,
3035.407,79.8117,81.1344,
3037.335,79.8829,81.2589,
3039.264,79.9603,81.3906,
3041.192,80.0433,81.5287,
3043.121,80.1311,81.6721,
3045.049,80.2229,81.8199,
3046.978,80.3182,81.9701,
3048.906,80.4171,82.1189,
3050.835,80.5213,82.2608,
3052.763,80.6325,82.3902,
3054.692,80.7523,82.5032,
3056.620,80.8806,82.5989,
3058.549,81.016,82.6793,
3060.477,81.1566,82.7485,
3062.406,81.3009,82.8117,
3064.334,81.4481,82.8737,
3066.262,81.5968,82.9401,
3068.191,81.7444,83.0149,
3070.119,81.8864,83.1013,
3072.048,82.0176,83.1994,
3073.976,82.1336,83.3064,
3075.905,82.2327,83.4162,
3077.833,82.316,83.5215,
3079.762,82.3871,83.6155,
3081.690,82.4511,83.6938,
3083.619,82.5354,83.7542,
3085.547,82.6022,83.7968,
3087.476,82.6769,83.8218,
3089.404,82.7615,83.8294,
3091.333,82.8556,83.8196,
3093.261,82.956,83.7925,
3095.189,83.0576,83.749,
3097.118,83.1545,83.6915,
3099.046,83.2418,83.6232,
3100.975,83.316,83.5472,
3102.903,83.3753,83.4663,
3104.832,83.4187,83.383,
3106.760,83.4457,83.2996,
3108.689,83.4556,83.2191,
3110.617,83.448,83.1445,
3112.546,83.4229,83.0782,
3114.474,83.3819,83.0205,
3116.403,83.3271,82.9696,
3118.331,83.2615,82.9214,
3120.260,83.188,82.8716,
3122.188,83.1093,82.8176,
3124.116,83.0277,82.76,
3126.045,82.9456,82.7026,
3127.973,82.8658,82.6516,
3129.902,82.7912,82.6126,
3131.830,82.7242,82.5892,
3133.759,82.6656,82.5824,
3135.687,82.614,82.5913,
3137.616,82.5662,82.6144,
3139.544,82.5185,82.6511,
3141.473,82.468,82.7011,
3143.401,82.4149,82.7643,
3145.330,82.3622,82.8399,
3147.258,82.3152,82.9262,
3149.187,82.2788,83.0206,
3151.115,82.2566,83.1204,
3153.043,82.2498,83.2236,
3154.972,82.258,83.3286,
3156.900,82.2801,83.434,
3158.829,82.3158,83.5385,
3160.757,82.3652,83.6408,
3162.686,82.4284,83.7398,
3164.614,82.5044,83.8348,
3166.543,82.5912,83.9251,
3168.471,82.686,84.0102,
3170.400,82.7857,84.0892,
3172.328,82.888,84.1609,
3174.257,82.9913,84.2246,
3176.185,83.0948,84.2797,
3178.114,83.1975,84.326,
3180.042,83.2983,84.3629,
3181.970,83.3963,84.3885,
3183.899,83.4907,84.4004,
3185.827,83.581,84.397,
3187.756,83.6667,84.3785,
3189.684,83.747,84.3478,
3191.613,83.8207,84.3096,
3193.541,83.8865,84.2687,
3195.470,83.9436,84.2283,
3197.398,83.9914,84.1887,
3199.327,84.029,84.1479,
3201.255,84.055,84.1026,
3203.184,84.0674,84.0496,
3205.112,84.0647,83.9869,
3207.041,84.0473,83.9141,
3208.969,84.0181,83.8318,
3210.897,83.9816,83.7402,
3212.826,83.9423,83.6382,
3214.754,83.9029,83.5238,
3216.683,83.8635,83.3952,
3218.611,83.822,83.2537,
3220.540,83.7754,83.1041,
3222.468,83.7213,82.9539,
3224.397,83.6586,82.8102,
3226.325,83.5874,82.6756,
3228.254,83.5081,82.5477,
3230.182,83.42,82.4197,
3232.111,83.3213,82.2851,
3234.039,83.2087,82.1413,
3235.968,83.0805,81.9907,
3237.896,82.9378,81.8393,
3239.824,82.7862,81.6931,
3241.753,82.6339,81.5552,
3243.681,82.4884,81.4249,
3245.610,82.3531,81.2994,
3247.538,82.2252,81.1754,
3249.467,82.0979,81.0503,
3251.395,81.9644,80.9215,
3253.324,81.8215,80.7849,
3255.252,81.6712,80.6342,
3257.181,81.5194,80.4609,
3259.109,81.372,80.2555,
3261.038,81.2326,80.0084,
3262.966,81.1011,79.7105,
3264.895,80.9748,79.3517,
3266.823,80.8503,78.9192,
3268.751,80.7243,78.3976,
3270.680,80.5934,77.7697,
3272.608,80.4536,77.0202,
3274.537,80.2988,76.1371,
3276.465,80.1216,75.1126,
3278.394,79.9131,73.9401,
3280.322,79.6643,72.6106,
3282.251,79.3657,71.1106,
3284.179,79.0064,69.4247,
3286.108,78.5732,67.5452,
3288.036,78.0509,65.4862,
3289.965,77.4232,63.2974,
3291.893,76.676,61.0705,
3293.822,75.7981,58.934,
3295.750,74.7816,57.0362,
3297.678,73.6195,55.5226,
3299.607,72.3022,54.5121,
3301.535,70.8161,54.0774,
3303.464,69.1469,54.2343,
3305.392,67.2883,54.9434,
3307.321,65.2553,56.1235,
3309.249,63.0971,57.6713,
3311.178,60.9028,59.479,
3313.106,58.7968,61.443,
3315.035,56.9236,63.4682,
3316.963,55.426,65.4713,
3318.892,54.4213,67.387,
3320.820,53.9826,69.173,
3322.749,54.1271,70.8097,
3324.677,54.8168,72.2924,
3326.605,55.9723,73.6239,
3328.534,57.4923,74.8097,
3330.462,59.2706,75.8586,
3332.391,61.2056,76.7852,
3334.319,63.2035,77.6094,
3336.248,65.1816,78.3515,
3338.176,67.075,79.0267,
3340.105,68.8411,79.641,
3342.033,70.4599,80.1935,
3343.962,71.9267,80.6813,
3345.890,73.2436,81.1052,
3347.819,74.4152,81.4715,
3349.747,75.4488,81.7896,
3351.676,76.3578,82.0696,
3353.604,77.1613,82.3189,
3355.532,77.8804,82.5413,
3357.461,78.5317,82.738,
3359.389,79.1236,82.9088,
3361.318,79.6569,83.0551,
3363.246,80.1291,83.1812,
3365.175,80.5397,83.295,
3367.103,80.8927,83.4064,
3369.032,81.1957,83.5247,
3370.960,81.4575,83.656,
3372.889,81.6858,83.8013,
3374.817,81.8856,83.9578,
3376.746,82.0596,84.1203,
3378.674,82.2088,84.2837,
3380.603,82.3345,84.4437,
3382.531,82.4405,84.5972,
3384.459,82.5333,84.7419,
3386.388,82.6217,84.8751,
3388.316,82.7142,84.994,
3390.245,82.8165,85.0956,
3392.173,82.9305,85.1771,
3394.102,83.0542,85.2371,
3396.030,83.184,85.276,
3397.959,83.3154,85.296,
3399.887,83.4443,85.3007,
3401.816,83.5672,85.294,
3403.744,83.6805,85.2805,
3405.673,83.7811,85.2655,
3407.601,83.8658,85.2547,
3409.530,83.9317,85.2536,
3411.458,83.9768,85.2654,
3413.386,84.0004,85.2904,
3415.315,84.0041,85.3248,
3417.243,83.9918,85.3624,
3419.172,83.9686,85.3968,
3421.100,83.9405,85.4239,
3423.029,83.9123,85.4437,
3424.957,83.8881,85.4593,
3426.886,83.8709,85.475,
3428.814,83.8628,85.4933,
3430.743,83.8647,85.5148,
3432.671,83.8755,85.5389,
3434.600,83.893,85.5648,
3436.528,83.9138,85.5921,
3438.457,83.9355,85.6207,
3440.385,83.9574,85.6497,
3442.313,83.9805,85.6779,
3444.242,84.0063,85.7037,
3446.170,84.035,85.7267,
3448.099,84.0653,85.7476,
3450.027,84.0953,85.7681,
3451.956,84.1234,85.7891,
3453.884,84.149,85.81,
3455.813,84.1727,85.8283,
3457.741,84.1964,85.8399,
3459.670,84.2221,85.8399,
3461.598,84.2513,85.8256,
3463.527,84.2838,85.8001,
3465.455,84.3182,85.772,
3467.384,84.3517,85.7493,
3469.312,84.3816,85.7346,
3471.240,84.4052,85.7255,
3473.169,84.4204,85.7181,
3475.097,84.4251,85.7104,
3477.026,84.4182,85.7028,
3478.954,84.4012,85.6972,
3480.883,84.3793,85.6955,
3482.811,84.3585,85.6987,
3484.740,84.3422,85.7069,
3486.668,84.3294,85.7185,
3488.597,84.3172,85.7305,
3490.525,84.3029,85.7374,
3492.454,84.2855,85.7332,
3494.382,84.2651,85.7127,
3496.311,84.2426,85.6746,
3498.239,84.2198,85.6224,
3500.168,84.1986,85.5639,
3502.096,84.1807,85.5093,
3504.024,84.1665,85.4691,
3505.953,84.1546,85.4513,
3507.881,84.1423,85.4598,
3509.810,84.126,85.4932,
3511.738,84.1026,85.5459,
3513.667,84.0698,85.61,
3515.595,84.027,85.6783,
3517.524,83.9754,85.7462,
3519.452,83.918,85.8124,
3521.381,83.8597,85.8776,
3523.309,83.8078,85.9417,
3525.238,83.772,86.0021,
3527.166,83.7623,86.0565,
3529.095,83.7852,86.1058,
3531.023,83.8399,86.1502,
3532.951,83.9182,86.1866,
3534.880,84.0088,86.2096,
3536.808,84.1029,86.2163,
3538.737,84.1959,86.2085,
3540.665,84.2871,86.1914,
3542.594,84.3774,86.1692,
3544.522,84.467,86.1433,
3546.451,84.5536,86.1171,
3548.379,84.6334,86.0974,
3550.308,84.7031,86.0888,
3552.236,84.7619,86.0884,
3554.165,84.8093,86.089,
3556.093,84.8444,86.0855,
3558.022,84.8662,86.0763,
3559.950,84.8765,86.0635,
3561.878,84.8833,86.0506,
3563.807,84.8986,86.0402,
3565.735,84.93,86.0282,
3567.664,84.9738,86.0012,
3569.592,85.0204,85.9467,
3571.521,85.0626,85.8723,
3573.449,85.0989,85.799,
3575.378,85.1306,85.7355,
3577.306,85.1591,85.6727,
3579.235,85.1842,85.5973,
3581.163,85.2036,85.5048,
3583.092,85.2129,85.4031,
3585.020,85.207,85.311,
3586.949,85.184,85.2489,
3588.877,85.1482,85.2259,
3590.805,85.1082,85.2345,
3592.734,85.069,85.258,
3594.662,85.0289,85.2822,
3596.591,84.9821,85.3001,
3598.519,84.9225,85.3102,
3600.448,84.8491,85.3125,
3602.376,84.7701,85.3061,
3604.305,84.7039,85.2903,
3606.233,84.6687,85.2675,
3608.162,84.6688,85.2453,
3610.090,84.6947,85.2316,
3612.019,84.733,85.2285,
3613.947,84.7728,85.2307,
3615.876,84.8072,85.2307,
3617.804,84.8314,85.2247,
3619.732,84.8426,85.2137,
3621.661,84.8401,85.2025,
3623.589,84.827,85.1966,
3625.518,84.8094,85.1987,
3627.446,84.7932,85.2072,
3629.375,84.7802,85.2164,
3631.303,84.7681,85.2196,
3633.232,84.7533,85.2126,
3635.160,84.735,85.192,
3637.089,84.7159,85.1518,
3639.017,84.7,85.083,
3640.946,84.6893,84.9769,
3642.874,84.6824,84.8303,
3644.803,84.6758,84.6532,
3646.731,84.6689,84.4686,
3648.659,84.6657,84.2976,
3650.588,84.6719,84.1459,
3652.516,84.6869,84.0079,
3654.445,84.7002,83.8781,
3656.373,84.6946,83.757,
3658.302,84.651,83.6497,
3660.230,84.5555,83.5619,
3662.159,84.4071,83.4975,
3664.087,84.2239,83.4568,
3666.016,84.035,83.4371,
3667.944,83.8609,83.4341,
3669.873,83.7065,83.4426,
3671.801,83.5678,83.4585,
3673.730,83.4419,83.4801,
3675.658,83.3301,83.508,
3677.586,83.2358,83.5443,
3679.515,83.1632,83.5914,
3681.443,83.1141,83.6504,
3683.372,83.0875,83.7205,
3685.300,83.0789,83.7992,
3687.229,83.0818,83.8841,
3689.157,83.0903,83.9738,
3691.086,83.1014,84.0685,
3693.014,83.1159,84.1672,
3694.943,83.1381,84.2646,
3696.871,83.173,84.3517,
3698.800,83.2237,84.4216,
3700.728,83.289,84.4757,
3702.657,83.365,84.5197,
3704.585,83.4467,84.5569,
3706.513,83.5303,84.5876,
3708.442,83.6137,84.6158,
3710.370,83.6959,84.6516,
3712.299,83.7777,84.7077,
3714.227,83.8595,84.7892,
3716.156,83.9411,84.8894,
3718.084,84.0202,84.9946,
3720.013,84.0931,85.0916,
3721.941,84.156,85.1697,
3723.870,84.2059,85.2229,
3725.798,84.2415,85.2506,
3727.727,84.2656,85.2561,
3729.655,84.2863,85.2411,
3731.584,84.317,85.2,
3733.512,84.3708,85.1251,
3735.440,84.4525,85.0222,
3737.369,84.5534,84.9086,
3739.297,84.6565,84.7932,
3741.226,84.7454,84.6692,
3743.154,84.8091,84.5268,
3745.083,84.8421,84.3674,
3747.011,84.8421,84.2091,
3748.940,84.8086,84.0824,
3750.868,84.7436,84.0161,
3752.797,84.655,84.0162,
3754.725,84.5575,84.058,
3756.654,84.4633,84.1048,
3758.582,84.3718,84.1298,
3760.511,84.2721,84.1239,
3762.439,84.1521,84.0917,
3764.367,84.0087,84.0454,
3766.296,83.8563,83.9992,
3768.224,83.7273,83.9621,
3770.153,83.6531,83.9342,
3772.081,83.6375,83.9119,
3774.010,83.6558,83.8945,
3775.938,83.6773,83.8876,
3777.867,83.6821,83.9001,
