;cavity_after;
Wavenumbers [1/cm];Transmittance;
7496,969;0,1261313;
7495,040;0,1287978;
7493,112;0,1297107;
7491,183;0,1286483;
7489,254;0,1285428;
7487,326;0,1318751;
7485,397;0,1361035;
7483,468;0,138599;
7481,539;0,140191;
7479,611;0,1417227;
7477,682;0,1431672;
7475,753;0,1446603;
7473,824;0,1460213;
7471,896;0,1472408;
7469,967;0,1489601;
7468,038;0,1509517;
7466,110;0,1522032;
7464,181;0,1533459;
7462,252;0,1556244;
7460,323;0,1581912;
7458,395;0,1601152;
7456,466;0,1618157;
7454,537;0,1632602;
7452,608;0,1646927;
7450,680;0,1668943;
7448,751;0,1693094;
7446,822;0,1710507;
7444,893;0,1726157;
7442,965;0,1745748;
7441,036;0,1764199;
7439,107;0,1777898;
7437,179;0,1791006;
7435,250;0,1805741;
7433,321;0,182054;
7431,392;0,1837582;
7429,464;0,1855334;
7427,535;0,1860974;
7425,606;0,1857935;
7423,677;0,1868927;
7421,749;0,1892283;
7419,820;0,1913049;
7417,891;0,1934426;
7415,963;0,1956569;
7414,034;0,1971905;
7412,105;0,1982444;
7410,176;0,199347;
7408,248;0,2000943;
7406,319;0,2000187;
7404,390;0,2001518;
7402,461;0,2014199;
7400,533;0,2029178;
7398,604;0,2038984;
7396,675;0,204973;
7394,747;0,2062762;
7392,818;0,2072581;
7390,889;0,2080508;
7388,960;0,208785;
7387,032;0,2088928;
7385,103;0,208262;
7383,174;0,2080751;
7381,245;0,2085355;
7379,317;0,2079882;
7377,388;0,2070504;
7375,459;0,2076819;
7373,531;0,2089571;
7371,602;0,209488;
7369,673;0,2096077;
7367,744;0,2097159;
7365,816;0,2098148;
7363,887;0,2098672;
7361,958;0,2097003;
7360,029;0,2091343;
7358,101;0,208007;
7356,172;0,2060579;
7354,243;0,2036535;
7352,314;0,2022039;
7350,386;0,2025894;
7348,457;0,2037298;
7346,528;0,2038935;
7344,600;0,2024138;
7342,671;0,2001186;
7340,742;0,1987415;
7338,813;0,1986135;
7336,885;0,1985337;
7334,956;0,1980522;
7333,027;0,1974307;
7331,098;0,1966365;
7329,170;0,1952142;
7327,241;0,1931639;
7325,312;0,1912938;
7323,384;0,1899795;
7321,455;0,188919;
7319,526;0,1877586;
7317,597;0,1860951;
7315,669;0,1837008;
7313,740;0,1813699;
7311,811;0,180126;
7309,882;0,1794068;
7307,954;0,1782626;
7306,025;0,1769018;
7304,096;0,1755101;
7302,168;0,1735813;
7300,239;0,171072;
7298,310;0,1688518;
7296,381;0,1672701;
7294,453;0,1659036;
7292,524;0,1648287;
7290,595;0,1640338;
7288,666;0,1628637;
7286,738;0,1612141;
7284,809;0,1593449;
7282,880;0,1572666;
7280,952;0,1554597;
7279,023;0,1540137;
7277,094;0,1521844;
7275,165;0,1502043;
7273,237;0,1487273;
7271,308;0,1473748;
7269,379;0,1458291;
7267,450;0,1443718;
7265,522;0,1429935;
7263,593;0,1414076;
7261,664;0,1394798;
7259,736;0,1372632;
7257,807;0,1353263;
7255,878;0,134203;
7253,949;0,1335591;
7252,021;0,1328039;
7250,092;0,1314863;
7248,163;0,1295734;
7246,234;0,1277747;
7244,306;0,1263886;
7242,377;0,1248381;
7240,448;0,1230659;
7238,519;0,121785;
7236,591;0,1210171;
7234,662;0,1199728;
7232,733;0,1184323;
7230,805;0,1168162;
7228,876;0,1152008;
7226,947;0,1135112;
7225,018;0,1119998;
7223,090;0,1105865;
7221,161;0,1089996;
7219,232;0,1075865;
7217,303;0,1065108;
7215,375;0,1055825;
7213,446;0,104876;
7211,517;0,1041161;
7209,589;0,1031168;
7207,660;0,1021628;
7205,731;0,1010596;
7203,802;0,09963053;
7201,874;0,09827852;
7199,945;0,09726131;
7198,016;0,09640647;
7196,087;0,09554312;
7194,159;0,09471507;
7192,230;0,09390221;
7190,301;0,09314794;
7188,373;0,09245949;
7186,444;0,09143034;
7184,515;0,09007113;
7182,586;0,0889801;
7180,658;0,088006;
7178,729;0,086889;
7176,800;0,08610085;
7174,871;0,08541187;
7172,943;0,08445513;
7171,014;0,08376942;
7169,085;0,08338887;
7167,157;0,08278764;
7165,228;0,08202511;
7163,299;0,08135624;
7161,370;0,08068345;
7159,442;0,08014902;
7157,513;0,0797516;
7155,584;0,07884135;
7153,655;0,07759302;
7151,727;0,07681245;
7149,798;0,07652731;
7147,869;0,0763697;
7145,941;0,07599369;
7144,012;0,07525065;
7142,083;0,0744538;
7140,154;0,07392325;
7138,226;0,0735122;
7136,297;0,07288221;
7134,368;0,07207454;
7132,439;0,07137575;
7130,511;0,07085229;
7128,582;0,07061049;
7126,653;0,07061718;
7124,724;0,07028259;
7122,796;0,06947973;
7120,867;0,06877599;
7118,938;0,06845836;
7117,010;0,06842493;
7115,081;0,06827343;
7113,152;0,06765091;
7111,223;0,0668715;
7109,295;0,06645269;
7107,366;0,06623577;
7105,437;0,06598677;
7103,508;0,0658183;
7101,580;0,06549077;
7099,651;0,06484637;
7097,722;0,06419579;
7095,794;0,06384041;
7093,865;0,06384356;
7091,936;0,06387978;
7090,007;0,06357562;
7088,079;0,06305709;
7086,150;0,06285714;
7084,221;0,06302349;
7082,292;0,06292984;
7080,364;0,06247455;
7078,435;0,06208233;
7076,506;0,06188867;
7074,578;0,06193996;
7072,649;0,06210217;
7070,720;0,06202015;
7068,791;0,06179833;
7066,863;0,06174232;
7064,934;0,06168068;
7063,005;0,06156915;
7061,076;0,06159621;
7059,148;0,06154421;
7057,219;0,06134579;
7055,290;0,06140652;
7053,362;0,06167449;
7051,433;0,06157994;
7049,504;0,06108947;
7047,575;0,06077544;
7045,647;0,06078617;
7043,718;0,0608127;
7041,789;0,06081572;
7039,860;0,06091488;
7037,932;0,06115345;
7036,003;0,0614024;
7034,074;0,06143167;
7032,146;0,06121905;
7030,217;0,0608967;
7028,288;0,06075078;
7026,359;0,0608821;
7024,431;0,06105985;
7022,502;0,06129021;
7020,573;0,06160368;
7018,644;0,06182014;
7016,716;0,06190591;
7014,787;0,0619041;
7012,858;0,06183981;
7010,929;0,06183751;
7009,001;0,0619718;
7007,072;0,06214949;
7005,143;0,0622915;
7003,215;0,06227504;
7001,286;0,06213833;
6999,357;0,06231054;
6997,428;0,06279007;
6995,500;0,06301305;
6993,571;0,06294388;
6991,642;0,06308506;
6989,713;0,06352938;
6987,785;0,06396294;
6985,856;0,06425025;
6983,927;0,06446452;
6981,999;0,06475484;
6980,070;0,06517845;
6978,141;0,0655013;
6976,212;0,06557272;
6974,284;0,06555595;
6972,355;0,06558605;
6970,426;0,06582715;
6968,497;0,06644562;
6966,569;0,06713332;
6964,640;0,0674822;
6962,711;0,06763509;
6960,783;0,06783312;
6958,854;0,06812876;
6956,925;0,06865941;
6954,996;0,06931755;
6953,068;0,0697744;
6951,139;0,0700952;
6949,210;0,07051662;
6947,281;0,07094143;
6945,353;0,07125006;
6943,424;0,07171816;
6941,495;0,07247227;
6939,567;0,07308182;
6937,638;0,07339206;
6935,709;0,07385323;
6933,780;0,07470877;
6931,852;0,07569765;
6929,923;0,07653854;
6927,994;0,07710247;
6926,065;0,07745713;
6924,137;0,07802474;
6922,208;0,07871416;
6920,279;0,0789549;
6918,350;0,07922932;
6916,422;0,08039901;
6914,493;0,08198484;
6912,564;0,08304031;
6910,636;0,08370312;
6908,707;0,08452041;
6906,778;0,0854588;
6904,849;0,08628871;
6902,921;0,0867926;
6900,992;0,08700474;
6899,063;0,08744395;
6897,134;0,08844727;
6895,206;0,08978149;
6893,277;0,0909561;
6891,348;0,09187511;
6889,420;0,09288733;
6887,491;0,09400366;
6885,562;0,09495764;
6883,633;0,0958254;
6881,705;0,09689932;
6879,776;0,09810788;
6877,847;0,09915564;
6875,918;0,1001947;
6873,990;0,1015996;
6872,061;0,1032418;
6870,132;0,1046305;
6868,204;0,1056434;
6866,275;0,1065808;
6864,346;0,1077219;
6862,417;0,1090961;
6860,489;0,1104142;
6858,560;0,1115027;
6856,631;0,1125023;
6854,702;0,1135353;
6852,774;0,1147598;
6850,845;0,116321;
6848,916;0,1180315;
6846,988;0,1196247;
6845,059;0,1211409;
6843,130;0,1226832;
6841,201;0,1242139;
6839,273;0,1256291;
6837,344;0,1269347;
6835,415;0,1284154;
6833,486;0,1300817;
6831,558;0,1315749;
6829,629;0,1329012;
6827,700;0,134333;
6825,772;0,1359197;
6823,843;0,1375004;
6821,914;0,1390993;
6819,985;0,1408107;
6818,057;0,1424362;
6816,128;0,143968;
6814,199;0,1456126;
6812,270;0,1472892;
6810,342;0,1489738;
6808,413;0,150747;
6806,484;0,1524208;
6804,555;0,1538885;
6802,627;0,1553232;
6800,698;0,156778;
6798,769;0,1581191;
6796,841;0,1593949;
6794,912;0,1609258;
6792,983;0,1627043;
6791,054;0,1642784;
6789,126;0,1655172;
6787,197;0,1666619;
6785,268;0,1678456;
6783,339;0,1690774;
6781,411;0,1703143;
6779,482;0,1714908;
6777,553;0,1726501;
6775,625;0,1738777;
6773,696;0,1751374;
6771,767;0,1764409;
6769,838;0,1777795;
6767,910;0,1790025;
6765,981;0,1800978;
6764,052;0,1810013;
6762,123;0,1815714;
6760,195;0,1819989;
6758,266;0,1825496;
6756,337;0,1832829;
6754,409;0,1841316;
6752,480;0,1849461;
6750,551;0,1855772;
6748,622;0,1859374;
6746,694;0,1861462;
6744,765;0,1864054;
6742,836;0,1866637;
6740,907;0,186815;
6738,979;0,1869849;
6737,050;0,1872112;
6735,121;0,1871522;
6733,193;0,1867678;
6731,264;0,1865259;
6729,335;0,1863869;
6727,406;0,1860628;
6725,478;0,1857618;
6723,549;0,1854654;
6721,620;0,1848859;
6719,691;0,1841981;
6717,763;0,1835858;
6715,834;0,1828739;
6713,905;0,1820722;
6711,977;0,1812494;
6710,048;0,180272;
6708,119;0,1791832;
6706,190;0,1780838;
6704,262;0,1769052;
6702,333;0,1757197;
6700,404;0,1747363;
6698,475;0,1738431;
6696,547;0,1727381;
6694,618;0,1714495;
6692,689;0,1701307;
6690,760;0,1687562;
6688,832;0,1672833;
6686,903;0,1657767;
6684,974;0,1642871;
6683,046;0,1627271;
6681,117;0,1610903;
6679,188;0,1594916;
6677,259;0,1578467;
6675,331;0,1559857;
6673,402;0,154082;
6671,473;0,1524347;
6669,544;0,1510388;
6667,616;0,1497727;
6665,687;0,1484148;
6663,758;0,1467376;
6661,830;0,1449596;
6659,901;0,1433102;
6657,972;0,1415832;
6656,043;0,1397128;
6654,115;0,1379366;
6652,186;0,1362593;
6650,257;0,1345022;
6648,328;0,1328268;
6646,400;0,1314832;
6644,471;0,1301154;
6642,542;0,1283014;
6640,614;0,1264182;
6638,685;0,1248965;
6636,756;0,1235317;
6634,827;0,1220268;
6632,899;0,1203204;
6630,970;0,1186767;
6629,041;0,1173499;
6627,112;0,1159639;
6625,184;0,1141975;
6623,255;0,1124847;
6621,326;0,1111025;
6619,398;0,1097631;
6617,469;0,108401;
6615,540;0,1070402;
6613,611;0,1055769;
6611,683;0,104227;
6609,754;0,1029678;
6607,825;0,1015155;
6605,896;0,1001593;
6603,968;0,09911146;
6602,039;0,0980275;
6600,110;0,09671693;
6598,182;0,09535962;
6596,253;0,09415857;
6594,324;0,09309188;
6592,395;0,09202865;
6590,467;0,09087992;
6588,538;0,08972915;
6586,609;0,08878551;
6584,680;0,08796459;
6582,752;0,0871054;
6580,823;0,08627446;
6578,894;0,08537176;
6576,965;0,08431894;
6575,037;0,08337351;
6573,108;0,08262078;
6571,179;0,08182104;
6569,251;0,08088262;
6567,322;0,07993648;
6565,393;0,07908913;
6563,464;0,07834176;
6561,536;0,0776724;
6559,607;0,07709011;
6557,678;0,07649968;
6555,749;0,07577047;
6553,821;0,07495408;
6551,892;0,07417668;
6549,963;0,07347256;
6548,035;0,07283935;
6546,106;0,07225589;
6544,177;0,07153653;
6542,248;0,07064143;
6540,320;0,06982071;
6538,391;0,06912319;
6536,462;0,06861667;
6534,533;0,06836152;
6532,605;0,06799959;
6530,676;0,06736786;
6528,747;0,06671079;
6526,819;0,06622177;
6524,890;0,06580199;
6522,961;0,06524332;
6521,032;0,06467101;
6519,104;0,064292;
6517,175;0,06403939;
6515,246;0,06374936;
6513,317;0,0633714;
6511,389;0,06296224;
6509,460;0,06248635;
6507,531;0,06191633;
6505,603;0,06144816;
6503,674;0,06115073;
6501,745;0,06079867;
6499,816;0,06038956;
6497,888;0,06009334;
6495,959;0,05988042;
6494,030;0,05971994;
6492,101;0,05957432;
6490,173;0,05937065;
6488,244;0,05911057;
6486,315;0,05876627;
6484,386;0,0584053;
6482,458;0,05820203;
6480,529;0,05808488;
6478,600;0,05785839;
6476,672;0,05760083;
6474,743;0,05735913;
6472,814;0,05698937;
6470,885;0,0565555;
6468,957;0,05618759;
6467,028;0,05594183;
6465,099;0,05593451;
6463,170;0,056035;
6461,242;0,05597;
6459,313;0,05585455;
6457,384;0,05582213;
6455,456;0,05568887;
6453,527;0,05544411;
6451,598;0,05525646;
6449,669;0,05509469;
6447,741;0,05488985;
6445,812;0,05475892;
6443,883;0,05477896;
6441,954;0,0548469;
6440,026;0,05491878;
6438,097;0,05491448;
6436,168;0,0546651;
6434,240;0,05438812;
6432,311;0,05438213;
6430,382;0,05449564;
6428,453;0,05457215;
6426,525;0,05463705;
6424,596;0,05474373;
6422,667;0,05487662;
6420,738;0,05479469;
6418,810;0,05449334;
6416,881;0,05432616;
6414,952;0,05442678;
6413,024;0,05470212;
6411,095;0,05502836;
6409,166;0,05523348;
6407,237;0,05520854;
6405,309;0,05512995;
6403,380;0,05530175;
6401,451;0,05561085;
6399,522;0,05572131;
6397,594;0,05571158;
6395,665;0,0558354;
6393,736;0,05600457;
6391,808;0,05603753;
6389,879;0,05608606;
6387,950;0,05630679;
6386,021;0,05647465;
6384,093;0,05647596;
6382,164;0,05654623;
6380,235;0,05678822;
6378,306;0,05715016;
6376,378;0,05757896;
6374,449;0,05792962;
6372,520;0,05810777;
6370,591;0,05823251;
6368,663;0,05842505;
6366,734;0,05865275;
6364,805;0,05894917;
6362,877;0,05928963;
6360,948;0,05950921;
6359,019;0,05958232;
6357,090;0,05963963;
6355,162;0,05997404;
6353,233;0,06063779;
6351,304;0,0612758;
6349,375;0,06175153;
6347,447;0,06211659;
6345,518;0,06240012;
6343,589;0,06271017;
6341,661;0,06315822;
6339,732;0,06373954;
6337,803;0,06419214;
6335,874;0,06445593;
6333,946;0,06486649;
6332,017;0,06541523;
6330,088;0,06586685;
6328,159;0,06631792;
6326,231;0,06683636;
6324,302;0,06729528;
6322,373;0,06776206;
6320,445;0,06835715;
6318,516;0,06894764;
6316,587;0,0694657;
6314,658;0,07001904;
6312,730;0,07065927;
6310,801;0,07147795;
6308,872;0,07238989;
6306,943;0,07312249;
6305,015;0,07374479;
6303,086;0,07439912;
6301,157;0,07505498;
6299,229;0,0756976;
6297,300;0,07631979;
6295,371;0,07712487;
6293,442;0,07820927;
6291,514;0,07927098;
6289,585;0,08012238;
6287,656;0,08081333;
6285,727;0,08153269;
6283,799;0,08244343;
6281,870;0,08342189;
6279,941;0,08436616;
6278,013;0,08540049;
6276,084;0,08653118;
6274,155;0,08754797;
6272,226;0,08841076;
6270,298;0,08934999;
6268,369;0,09047055;
6266,440;0,09165704;
6264,511;0,09284068;
6262,583;0,09404983;
6260,654;0,09529335;
6258,725;0,09650414;
6256,796;0,09759391;
6254,868;0,09864417;
6252,939;0,09988254;
6251,010;0,1013366;
6249,082;0,1027852;
6247,153;0,1041439;
6245,224;0,1055163;
6243,295;0,1069008;
6241,367;0,1082868;
6239,438;0,1097924;
6237,509;0,111371;
6235,580;0,1127627;
6233,652;0,1139569;
6231,723;0,1152756;
6229,794;0,1168609;
6227,866;0,1185163;
6225,937;0,1200743;
6224,008;0,1216725;
6222,079;0,123476;
6220,151;0,1252953;
6218,222;0,1269441;
6216,293;0,1286084;
6214,364;0,1304353;
6212,436;0,132218;
6210,507;0,1338372;
6208,578;0,1355236;
6206,650;0,1373776;
6204,721;0,1392228;
6202,792;0,1409933;
6200,863;0,1427827;
6198,935;0,1446764;
6197,006;0,146646;
6195,077;0,1484778;
6193,148;0,150166;
6191,220;0,1519827;
6189,291;0,1538009;
6187,362;0,155384;
6185,434;0,1569874;
6183,505;0,1588528;
6181,576;0,1608046;
6179,647;0,1625574;
6177,719;0,1641593;
6175,790;0,1658009;
6173,861;0,1674131;
6171,932;0,1689701;
6170,004;0,1706482;
6168,075;0,1724408;
6166,146;0,1741176;
6164,218;0,175653;
6162,289;0,1771852;
6160,360;0,1786951;
6158,431;0,1802263;
6156,503;0,1818017;
6154,574;0,1831341;
6152,645;0,1841539;
6150,716;0,1852359;
6148,788;0,1865163;
6146,859;0,1878018;
6144,930;0,1890208;
6143,001;0,1901351;
6141,073;0,191069;
6139,144;0,191841;
6137,215;0,19252;
6135,287;0,1931686;
6133,358;0,1938051;
6131,429;0,1944206;
6129,500;0,1949843;
6127,572;0,1953943;
6125,643;0,1955839;
6123,714;0,1956801;
6121,785;0,195819;
6119,857;0,1959611;
6117,928;0,1960887;
6115,999;0,1961594;
6114,071;0,1959984;
6112,142;0,1955633;
6110,213;0,1949897;
6108,284;0,1944037;
6106,356;0,1938029;
6104,427;0,1931043;
6102,498;0,1923159;
6100,569;0,1915741;
6098,641;0,1909482;
6096,712;0,1902714;
6094,783;0,1893635;
6092,855;0,1882288;
6090,926;0,1869563;
6088,997;0,185641;
6087,068;0,1842843;
6085,140;0,182845;
6083,211;0,1813328;
6081,282;0,1797604;
6079,353;0,1781942;
6077,425;0,1766467;
6075,496;0,1749963;
6073,567;0,1732455;
6071,639;0,1714976;
6069,710;0,1697825;
6067,781;0,1681391;
6065,852;0,1664578;
6063,924;0,1644935;
6061,995;0,162351;
6060,066;0,1603312;
6058,137;0,1584165;
6056,209;0,1564356;
6054,280;0,1544239;
6052,351;0,1525533;
6050,423;0,1507988;
6048,494;0,1489606;
6046,565;0,1469999;
6044,636;0,1449874;
6042,708;0,1429445;
6040,779;0,1409354;
6038,850;0,1389776;
6036,921;0,1369855;
6034,993;0,1350016;
6033,064;0,1330785;
6031,135;0,1310536;
6029,206;0,1289031;
6027,278;0,1269048;
6025,349;0,1251585;
6023,420;0,1234536;
6021,492;0,1216556;
6019,563;0,1197892;
6017,634;0,1178935;
6015,705;0,1160702;
6013,777;0,1144352;
6011,848;0,1129382;
6009,919;0,1114109;
6007,990;0,1097649;
6006,062;0,1080715;
6004,133;0,1064096;
6002,204;0,1047762;
6000,276;0,1032301;
5998,347;0,1017712;
5996,418;0,1002456;
5994,489;0,09861885;
5992,561;0,09704435;
5990,632;0,09565663;
5988,703;0,09443285;
5986,774;0,09330814;
5984,846;0,09216668;
5982,917;0,09082426;
5980,988;0,08940998;
5979,060;0,08815106;
5977,131;0,08692366;
5975,202;0,08565218;
5973,273;0,08449576;
5971,345;0,08345194;
5969,416;0,08236224;
5967,487;0,08116988;
5965,558;0,07994184;
5963,630;0,07885925;
5961,701;0,07797864;
5959,772;0,07706731;
5957,844;0,07599901;
5955,915;0,07492899;
5953,986;0,07401086;
5952,057;0,07316391;
5950,129;0,07224136;
5948,200;0,07134829;
5946,271;0,07062115;
5944,342;0,06991898;
5942,414;0,06909652;
5940,485;0,06824046;
5938,556;0,06745982;
5936,627;0,06678694;
5934,699;0,06616294;
5932,770;0,0654477;
5930,841;0,06465542;
5928,913;0,06392212;
5926,984;0,06327415;
5925,055;0,06263862;
5923,126;0,06199875;
5921,198;0,06132174;
5919,269;0,06052015;
5917,340;0,05975923;
5915,411;0,05922206;
5913,483;0,05878046;
5911,554;0,05832257;
5909,625;0,05787224;
5907,697;0,05743507;
5905,768;0,05697249;
5903,839;0,05647011;
5901,910;0,05598977;
5899,982;0,05559206;
5898,053;0,05522057;
5896,124;0,05480432;
5894,195;0,05440668;
5892,267;0,05406744;
5890,338;0,05373535;
5888,409;0,05334561;
5886,481;0,05287055;
5884,552;0,05240963;
5882,623;0,05204186;
5880,694;0,05171856;
5878,766;0,05141256;
5876,837;0,05114716;
5874,908;0,05092298;
5872,979;0,05074099;
5871,051;0,05055883;
5869,122;0,05027027;
5867,193;0,04988969;
5865,265;0,04952639;
5863,336;0,04919326;
5861,407;0,04883793;
5859,478;0,04850942;
5857,550;0,0482983;
5855,621;0,04812815;
5853,692;0,04796581;
5851,763;0,04788854;
5849,835;0,04780455;
5847,906;0,0476495;
5845,977;0,04749483;
5844,049;0,04730147;
5842,120;0,04704453;
5840,191;0,04684263;
5838,262;0,04675462;
5836,334;0,04673894;
5834,405;0,04675687;
5832,476;0,04672435;
5830,547;0,04658476;
5828,619;0,0464423;
5826,690;0,0463695;
5824,761;0,04634202;
5822,832;0,04638286;
5820,904;0,04645083;
5818,975;0,04639918;
5817,046;0,04619883;
5815,118;0,04600595;
5813,189;0,04591025;
5811,260;0,04585258;
5809,331;0,04583512;
5807,403;0,04587834;
5805,474;0,04595631;
5803,545;0,04599833;
5801,616;0,04588291;
5799,688;0,04567357;
5797,759;0,04559052;
5795,830;0,04572431;
5793,902;0,04598049;
5791,973;0,04615714;
5790,044;0,04617909;
5788,115;0,04619791;
5786,187;0,04627716;
5784,258;0,04630658;
5782,329;0,04627348;
5780,400;0,04623627;
5778,472;0,04622012;
5776,543;0,04630135;
5774,614;0,04651526;
5772,686;0,04673415;
5770,757;0,04683091;
5768,828;0,04687415;
5766,899;0,04695972;
5764,971;0,04703808;
5763,042;0,04708637;
5761,113;0,04720114;
5759,184;0,04745352;
5757,256;0,04777272;
5755,327;0,04801285;
5753,398;0,0481024;
5751,470;0,04814018;
5749,541;0,04825702;
5747,612;0,0484397;
5745,683;0,04874191;
5743,755;0,04919387;
5741,826;0,04953483;
5739,897;0,04968059;
5737,968;0,04985685;
5736,040;0,05008813;
5734,111;0,05029342;
5732,182;0,05057909;
5730,254;0,05096143;
5728,325;0,05125106;
5726,396;0,05144211;
5724,467;0,05174016;
5722,539;0,05213918;
5720,610;0,05246209;
5718,681;0,05273269;
5716,752;0,05306202;
5714,824;0,05345065;
5712,895;0,05390011;
5710,966;0,054329;
5709,037;0,05466237;
5707,109;0,05506659;
5705,180;0,0556355;
5703,251;0,05627468;
5701,323;0,0568995;
5699,394;0,05742418;
5697,465;0,05785023;
5695,536;0,05826823;
5693,608;0,05872162;
5691,679;0,05920067;
5689,750;0,05973652;
5687,821;0,06039204;
5685,893;0,06108506;
5683,964;0,06168846;
5682,035;0,06228402;
5680,107;0,06296903;
5678,178;0,06362131;
5676,249;0,06420568;
5674,320;0,06488197;
5672,392;0,06563485;
5670,463;0,06635585;
5668,534;0,06712048;
